Length,Width,Thickness,Mass,Stress,BucklingLoad
32,6,0.3,0.110985024,177.9,171.122868
40,9,0.45,0.309725379,120.38,396.2794793
24,3,0.3,0.042165886,309.19,121.667994
28,3,0.3,0.049365886,280.68,104.904234
32,3,0.3,0.056565886,259.09,85.561434
36,3,0.3,0.063765886,261.2,63.639594
40,3,0.3,0.070965886,246.28,39.138714
24,4.5,0.3,0.062440527,267.47,182.501991
28,4.5,0.3,0.073240527,230.87,157.356351
32,4.5,0.3,0.084040527,212.57,128.342151
36,4.5,0.3,0.094840527,195.52,95.459391
40,4.5,0.3,0.105640527,183.99,58.708071
24,6,0.3,0.082185024,238.91,243.335988
28,6,0.3,0.096585024,196.04,209.808468
32,6,0.3,0.110985024,177.68,171.122868
36,6,0.3,0.125385024,160.14,127.279188
40,6,0.3,0.139785024,149.75,78.277428
24,7.5,0.3,0.101399377,221.08,304.169985
28,7.5,0.3,0.119399377,184.29,262.260585
32,7.5,0.3,0.137399377,160.81,213.903585
36,7.5,0.3,0.155399377,144.32,159.098985
40,7.5,0.3,0.173399377,133.04,97.846785
24,9,0.3,0.120083586,215.5,365.003982
28,9,0.3,0.141683586,176.68,314.712702
32,9,0.3,0.163283586,146.48,256.684302
36,9,0.3,0.184883586,134.34,190.918782
40,9,0.3,0.206483586,120.3,117.416142
24,3,0.45,0.06324883,318.41,410.6294798
28,3,0.45,0.07404883,260.81,354.0517898
32,3,0.45,0.08484883,228.77,288.7698398
36,3,0.45,0.09564883,205.62,214.7836298
40,3,0.45,0.10644883,190.46,132.0931598
24,4.5,0.45,0.09366079,288.02,615.9442196
28,4.5,0.45,0.10986079,230.55,531.0776846
32,4.5,0.45,0.12606079,201.44,433.1547596
36,4.5,0.45,0.14226079,178.5,322.1754446
40,4.5,0.45,0.15846079,160.04,198.1397396
24,6,0.45,0.123277536,282.55,821.2589595
28,6,0.45,0.144877536,220.68,708.1035795
32,6,0.45,0.166477536,183.64,577.5396795
36,6,0.45,0.188077536,153.46,429.5672595
40,6,0.45,0.209677536,138.49,264.1863195
24,7.5,0.45,0.152099065,267.44,1026.573699
28,7.5,0.45,0.179099065,207.73,885.1294744
32,7.5,0.45,0.206099065,172.22,721.9245994
36,7.5,0.45,0.233099065,144.6,536.9590744
40,7.5,0.45,0.260099065,127.11,330.2328994
24,9,0.45,0.180125379,266.66,1231.888439
28,9,0.45,0.212525379,202.97,1062.155369
32,9,0.45,0.244925379,165.54,866.3095193
36,9,0.45,0.277325379,140.06,644.3508893
40,9,0.45,0.309725379,120.38,396.2794793
24,3,0.6,0.084331773,403.57,973.343952
28,3,0.6,0.098731773,312.82,839.233872
32,3,0.6,0.113131773,255.09,684.491472
36,3,0.6,0.127531773,215.85,509.116752
40,3,0.6,0.141931773,189.42,313.109712
24,4.5,0.6,0.124881054,374,1460.015928
28,4.5,0.6,0.146481054,275.27,1258.850808
32,4.5,0.6,0.168081054,221.73,1026.737208
36,4.5,0.6,0.189681054,188.22,763.675128
40,4.5,0.6,0.211281054,165.4,469.664568
24,6,0.6,0.164370048,348.79,1946.687904
28,6,0.6,0.193170048,266.17,1678.467744
32,6,0.6,0.221970048,215.05,1368.982944
36,6,0.6,0.250770048,178.18,1018.233504
40,6,0.6,0.279570048,150.11,626.219424
